emulators;link;type;file;folder;exe
RetroFe;http://retrofe.nl/Download/Release/RetroFE_full_0.10.31.zip;FrontEnd;RetroFe.7z;RetroFe;retroarch.exe
RetroArch;https://buildbot.libretro.com/nightly/windows/x86_64/RetroArch.7z;emulators;RetroArch-Win64.7z;RetroArch-Win64;null
RetroArch;https://buildbot.libretro.com/nightly/windows/x86_64/RetroArch_cores.7z;complement;RetroArch_cores.7z;RetroArch-Win64;null
RetroArch;https://buildbot.libretro.com/nightly/windows/x86_64/RetroArch_update.7z;update;RetroArch_update.7z;RetroArch-Win64;null
RetroArch;https://github.com/Abdess/retroarch_system/releases/download/v20220308/RetroArch_v1.10.1.zip;complement;RetroArch_v1.10.1.zip;No_folder;null
Nintendo Switch;https://github.com/yuzu-emu/yuzu-mainline/releases/download/mainline-0-1231/yuzu-windows-msvc-20221111-d39a655c2.zip;emulators;yuzu-windows-msvc-20221111-d39a655c2.zip;yuzu-windows-msvc;yuzu.exe
Nintendo Switch (Ryujinx);https://github.com/Ryujinx/release-channel-master/releases/download/1.1.340/ryujinx-1.1.340-win_x64.zip;emulators;ryujinx-1.1.340-win_x64.zip;publish;ryujinx.exe
Sony Playstation 2;https://github.com/PCSX2/pcsx2/releases/download/v1.6.0/pcsx2-1.6.0-binaries.7z;emulators;pcsx2-1.6.0-binaries.7z;PCSX2 1.6.0;pcsx2.exe
Sony Playstation 2 (AVX2-Qt);https://github.com/PCSX2/pcsx2/releases/download/v1.7.3550/pcsx2-v1.7.3550-windows-64bit-AVX2-Qt.7z;emulators;pcsx2-v1.7.3550-windows-64bit-AVX2-Qt.7z;No_folder;pcsx2-qtx64-avx2.exe
Sony Playstation 2 (QTX64);https://github.com/PCSX2/pcsx2/releases/download/v1.7.3550/pcsx2-v1.7.3550-windows-64bit-SSE4-Qt.7z;emulators;pcsx2-v1.7.3550-windows-64bit-SSE4-Qt.7z;No_folder;pcsx2-qtx64.exe
Nintendo Wii;https://dl.dolphin-emu.org/builds/c0/39/dolphin-master-5.0-16101-x64.7z;emulators;dolphin-master-5.0-16101-x64.7z;Dolphin-x64;Dolphin.exe
Microsoft Xbox 360;https://github.com/xenia-project/release-builds-windows/releases/latest/download/xenia_master.zip;emulators;xenia_master.zip;No_folder;xenia.exe
Microsoft Xbox (Xemu);https://github.com/mborgerson/xemu/releases/download/v0.7.71/xemu-win-release.zip;emulators;xemu-win-release.zip;No_folder;xemu.exe
Nintendo 3DS;https://github.com/citra-emu/citra-nightly/releases/download/nightly-1807/citra-windows-mingw-20221109-bb05d8c.7z;emulators;citra-windows-mingw-20221109-bb05d8c.7z;nightly-mingw;citra.exe
Sony PlayStation Portable;http://www.ppsspp.org/files/1_13_2/ppsspp_win.zip;emulators;ppsspp_win.zip;No_folder;ppsspp.exe
Scraper;https://github.com/sselph/scraper/releases/download/v1.4.6/scraper_windows_amd64.zip;tools;scraper_windows_amd64.zip;scraper.exe
RocketLauncher;https://mega.nz/file/yBsCwKRZ#dG7u1kly3H81pJuwgOK54mkJF1cPEQEJT9T3XIGKXI8;tools;RocketLauncher.zip;RocketLauncher.exe
