wrong_name;official_name
_common;_common
'_common';_common
_manufacturer;_manufacturer
_temp;_temp
- Conf -  - Conf -'- Conf -Settings'  - Conf -  - Conf -'- Conf -Settings';- Conf - Settings
- Conf - Settings;- Conf - Settings
- Conf ?   - Conf ?  Settings;- Conf - Settings
- Conf ?  - Conf ?  Settings;- Conf - Settings
- Conf ?'- Conf ?Settings';- Conf - Settings
' - Conf ?Settings';- Conf - Settings
'- Conf ?Settings';- Conf - Settings
Z SETTINGS;- Conf - Settings
Z SHUTDOWN;- Conf - Shutdown
Zettings;- Conf - Settings
ZZZ Settings;- Conf - Settings
-Conf-Sub- Atlas;- Conf - Sub System - Atlas
'- ConfSub ?Atlas';- Conf - Sub System - Atlas
Z ATLAS Settings;- Conf - Sub System - Atlas
-Conf-Sub- Atlas 2;- Conf - Sub System - Atlas 2
'- ConfSub ?Atlas 2';- Conf - Sub System - Atlas 2
Z ATLAS 2 Settings;- Conf - Sub System - Atlas 2
- ConfSub ?  Boxart;- Conf - Sub System - Boxart
-Conf-Sub- Boxart;- Conf - Sub System - Boxart
'- ConfSub ?  Boxart';- Conf - Sub System - Boxart
ZZZ BOXART;- Conf - Sub System - Boxart
LUNA;- Conf - Sub System - Luna
- ConfSub -  Themes;- Conf - Sub System - Themes
- ConfSub ?  Themes;- Conf - Sub System - Themes
-Conf-Sub- Themes;- Conf - Sub System - Themes
'- ConfSub ?Themes';- Conf - Sub System - Themes
THEMES;- Conf - Sub System - Themes
- ConfSub -  Titan;- Conf - Sub System - Titan
-Conf-Sub- Titan;- Conf - Sub System - Titan
'- ConfSub ?Titan';- Conf - Sub System - Titan
Z TITAN;- Conf - Sub System - Titan
Z TITAN - Conf ?  Settings;- Conf - Sub System - Titan
Z TITAN Settings;- Conf - Sub System - Titan
_Menu -Arcade;- Menu - Arcade
-Menu -Arcade;- Menu - Arcade
'_Menu - Arcade';- Menu - Arcade
1 ARCADES;- Menu - Arcade
_Menu -Collections;- Menu - Collections
-Menu -Collections;- Menu - Collections
'_Menu - Collections';- Menu - Collections
1 COLLECTIONS;- Menu - Collections
_collections;- Menu - Collections
_Menu -Computers;- Menu - Computers
-Menu -Computers;- Menu - Computers
'_Menu - Computers';- Menu - Computers
1 COMPUTERS;- Menu - Computers
_Menu -Consoles;- Menu - Consoles
-Menu -Consoles;- Menu - Consoles
'_Menu -Consoles';- Menu - Consoles
1 CONSOLES;- Menu - Consoles
_Menu -Genres;- Menu - Genres
-Menu- Genres;- Menu - Genres
'_Menu -Genres';- Menu - Genres
1 GENRES;- Menu - Genres
_Menu -Handheld Consoles;- Menu - Handheld Consoles
-Menu -Handheld Consoles;- Menu - Handheld Consoles
'_Menu - Handheld Consoles';- Menu - Handheld Consoles
1 HANDHELDS;- Menu - Handheld Consoles
_Menu -Manufacturer;- Menu - Manufacturer
-Menu- Manufacturer;- Menu - Manufacturer
'_Menu -Manufacturer';- Menu - Manufacturer
1 MANUFACTURER;- Menu - Manufacturer
_Menu -Pinball;- Menu - Pinball
- Menu ? Pinball;- Menu - Pinball
-Menu- Pinball;- Menu - Pinball
'_Menu -Pinball';- Menu - Pinball
1 PINBALL;- Menu - Pinball
- SubMenu -  Arcade All;- MenuSub - Arcade All
- SubMenu - Arcade All;- MenuSub - Arcade All
"- SubMenu - Arcade All""";- MenuSub - Arcade All
- SubMenu ? Arcade All?;- MenuSub - Arcade All
'- SubMenu ? Arcade All?';- MenuSub - Arcade All
02 ARCADE ALL;- MenuSub - Arcade All
0 Arcade;- MenuSub - Arcade All
- SubMenu - Arcade Collections;- SubMenu - Arcade Collections
- SubMenu – Arcade Collections;- SubMenu - Arcade Collections
- SubMenu ? Arcade Collections;- SubMenu - Arcade Collections
'- SubMenu ? Arcade Collections';- SubMenu - Arcade Collections
2 ARCADE COLLECTIONS;- SubMenu - Arcade Collections
- SubMenu - Arcade Genres;- MenuSub - Arcade Genres
"- SubMenu - Arcade Genres""";- MenuSub - Arcade Genres
- SubMenu ? Arcade Genres;- MenuSub - Arcade Genres
- SubMenu ? Arcade Genres?;- MenuSub - Arcade Genres
'- SubMenu ? Arcade Genres?';- MenuSub - Arcade Genres
2 ARCADE GENRES;- MenuSub - Arcade Genres
- ArcadeFavs Official SUB;- MenuSub - Arcade Select
- SubMenu - Arcade Select;- MenuSub - Arcade Select
'- SubMenu ? Arcade Select';- MenuSub - Arcade Select
- SubMenu - Arcade Systems;- MenuSub - Arcade Systems
"- SubMenu - Arcade Systems""";- MenuSub - Arcade Systems
- SubMenu ? Arcade Systems;- MenuSub - Arcade Systems
- SubMenu ? Arcade Systems?;- MenuSub - Arcade Systems
'- SubMenu ? Arcade Systems?';- MenuSub - Arcade Systems
2 ARCADE SYSTEMS;- MenuSub - Arcade Systems
- SubMenu - Consoles 16 bits;- MenuSub - Consoles 16 bits
'- SubMenu ? Consoles 16 bits';- MenuSub - Consoles 16 bits
CONSOLE 16 BITS;- MenuSub - Consoles 16 bits
- SubMenu - Consoles 32 bits;- MenuSub - Consoles 32 bits
'- SubMenu ? Consoles 32 bits';- MenuSub - Consoles 32 bits
CONSOLE 32 BITS;- MenuSub - Consoles 32 bits
- SubMenu - Consoles 64 bits;- MenuSub - Consoles 64 bits
'- SubMenu ? Consoles 64 bits';- MenuSub - Consoles 64 bits
CONSOLE 64 BITS;- MenuSub - Consoles 64 bits
- SubMenu - Consoles 8 bits;- MenuSub - Consoles 8 bits
'- SubMenu ? Consoles 8 bits';- MenuSub - Consoles 8 bits
CONSOLE 8 BITS;- MenuSub - Consoles 8 bits
- SubMenu - Consoles All;- MenuSub - Consoles All
- SubMenu ? Consoles All;- MenuSub - Consoles All
'- SubMenu ? Consoles All';- MenuSub - Consoles All
02 CONSOLE ALL;- MenuSub - Consoles All
- SubMenu - Consoles Modern;- MenuSub - Consoles Modern
'- SubMenu ? Consoles Modern';- MenuSub - Consoles Modern
CONSOLES MODERN;- MenuSub - Consoles Modern
- Sub ?  2Players;- Sub_Selection - 2Players
-Sub-2Players;- Sub_Selection - 2Players
-SubCol- 2Players;- Sub_Selection - 2Players
'- SubCol ?  2Players';- Sub_Selection - 2Players
auto-at2players;- Sub_Selection - 2Players
- Sub ?  4Players;- Sub_Selection - 4Players
-Sub-4Players;- Sub_Selection - 4Players
-SubCol- 4Players;- Sub_Selection - 4Players
'- SubCol ?  4Players';- Sub_Selection - 4Players
auto-at4players;- Sub_Selection - 4Players
- Sub ?  Alphabet of Horror;- Sub_Selection - Alphabet of Horror
-Sub-Alphabet of Horror;- Sub_Selection - Alphabet of Horror
-SubCol- Alphabet of Horror;- Sub_Selection - Alphabet of Horror
'- SubCol ?  Alphabet of Horror';- Sub_Selection - Alphabet of Horror
Alphabet of Horror;- Sub_Selection - Alphabet of Horror
- Sub ?  Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
-Sub-Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
-SubCol- Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
'- SubCol ?  Art Of Fighting Collection';- Sub_Selection - Art Of Fighting Collection
artoffighting;- Sub_Selection - Art Of Fighting Collection
- Sub ?  Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
-Sub-Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
-SubCol- Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
'- SubCol ?  Assassins Creed Collection';- Sub_Selection - Assassins Creed Collection
Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
- Sub ?  Batman Collection;- Sub_Selection - Batman Collection
-Sub-Batman Collection;- Sub_Selection - Batman Collection
-SubCol-  -SubCol-  -SubCol-Batman Collection';- Sub_Selection - Batman Collection
-SubCol- Batman Collection;- Sub_Selection - Batman Collection
'- SubCol ?  Batman Collection';- Sub_Selection - Batman Collection
batman;- Sub_Selection - Batman Collection
Batman Collection;- Sub_Selection - Batman Collection
- Sub ?  Battlefield The Collection;- Sub_Selection - Battlefield The Collection
-Sub-Battlefield The Collection;- Sub_Selection - Battlefield The Collection
-SubCol- Battlefield The Collection;- Sub_Selection - Battlefield The Collection
'- SubCol ?  Battlefield The Collection';- Sub_Selection - Battlefield The Collection
Battlefield The Collection;- Sub_Selection - Battlefield The Collection
- Sub ?  Bomberman Collection;- Sub_Selection - Bomberman Collection
-Sub-Bomberman Collection;- Sub_Selection - Bomberman Collection
-SubCol- Bomberman Collection;- Sub_Selection - Bomberman Collection
'- SubCol ?  Bomberman Collection';- Sub_Selection - Bomberman Collection
mrboom;- Sub_Selection - Bomberman Collection
- Sub ?  Borderlands Collection;- Sub_Selection - Borderlands Collection
-Sub-Borderlands Collection;- Sub_Selection - Borderlands Collection
-SubCol- Borderlands Collection;- Sub_Selection - Borderlands Collection
'- SubCol ?  Borderlands Collection';- Sub_Selection - Borderlands Collection
Borderlands Collection;- Sub_Selection - Borderlands Collection
- Sub ?  Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
-Sub-Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
-SubCol- Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
'- SubCol ?  Bubble Bobble Collection';- Sub_Selection - Bubble Bobble Collection
BUBBLE BOBBLE COLLECTION;- Sub_Selection - Bubble Bobble Collection
- Sub ?  Castlevania Collection;- Sub_Selection - Castlevania Collection
-Sub-Castlevania Collection;- Sub_Selection - Castlevania Collection
-SubCol-  -SubCol-  -SubCol-Castlevania Collection';- Sub_Selection - Castlevania Collection
-SubCol- Castlevania Collection;- Sub_Selection - Castlevania Collection
-SubCol-Castlevania Collection';- Sub_Selection - Castlevania Collection
'- SubCol ?  Castlevania Collection';- Sub_Selection - Castlevania Collection
castlevania;- Sub_Selection - Castlevania Collection
Castlevania Collection;- Sub_Selection - Castlevania Collection
- Sub ?  Cavestory Collection;- Sub_Selection - Cavestory Collection
-Sub-Cavestory Collection;- Sub_Selection - Cavestory Collection
-SubCol- Cavestory Collection;- Sub_Selection - Cavestory Collection
'- SubCol ?  Cavestory Collection';- Sub_Selection - Cavestory Collection
Cave Story;- Sub_Selection - Cavestory Collection
cavestory;- Sub_Selection - Cavestory Collection
-SubCol- Clone Hero;- Sub_Selection - Clone Hero
'- SubCol ? Clone Hero';- Sub_Selection - Clone Hero
Clone Hero;- Sub_Selection - Clone Hero
- Sub ?  Contra Collection;- Sub_Selection - Contra Collection
-Sub-Contra Collection;- Sub_Selection - Contra Collection
-SubCol-  -SubCol-  -SubCol-Contra Collection';- Sub_Selection - Contra Collection
-SubCol- Contra Collection;- Sub_Selection - Contra Collection
'- SubCol ?  Contra Collection';- Sub_Selection - Contra Collection
Contra Collection;- Sub_Selection - Contra Collection
- Sub ?  Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
-Sub-Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
-SubCol- Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
'- SubCol ?  Crash Bandicoot Collection';- Sub_Selection - Crash Bandicoot Collection
Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
- Sub ?  Disney Collection;- Sub_Selection - Disney Collection
-Sub-Disney Collection;- Sub_Selection - Disney Collection
-SubCol- Disney Collection;- Sub_Selection - Disney Collection
'- SubCol ?  Disney Collection';- Sub_Selection - Disney Collection
Disney Collection;- Sub_Selection - Disney Collection
- Sub ?  Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-Sub-Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-SubCol-  Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-SubCol- Donkey kong Collection;- Sub_Selection - Donkey kong Collection
'- SubCol ?  Donkey kong Collection';- Sub_Selection - Donkey kong Collection
Donkey Kong Collection;- Sub_Selection - Donkey kong Collection
donkeykong;- Sub_Selection - Donkey kong Collection
- Sub ?  Doom;- Sub_Selection - Doom Collection
- SubCol ?  Doom Collection;- Sub_Selection - Doom Collection
-Sub-Doom;- Sub_Selection - Doom Collection
-SubCol- Doom;- Sub_Selection - Doom Collection
-SubCol-Doom Collection;- Sub_Selection - Doom Collection
'- SubCol ?  Doom';- Sub_Selection - Doom Collection
prboom;- Sub_Selection - Doom Collection
- Sub ?  Doom Collection;- Sub_Selection - Doom Collection
-Sub-Doom Collection;- Sub_Selection - Doom Collection
-SubCol-  Doom Collection;- Sub_Selection - Doom Collection
-SubCol- Doom Collection;- Sub_Selection - Doom Collection
'- SubCol ?  Doom Collection';- Sub_Selection - Doom Collection
Doom;- Sub_Selection - Doom Collection
Doom II Official;- Sub_Selection - Doom Collection
