rom_wrong_name;rom_official_name;alt_rom_official_name
The Battle of Midway (Euro);1943;1943
Midway Kaisen (Japan, Rev B);1943j;1943
Midway Kaisen (Japan);1943ja;1943
Midway Kaisen (Japan);1943kai;1943 Kai
The Battle of Midway Mark II (US);1943mii;1943
The Battle of Midway (US, Rev C);1943u;1943
The Battle of Midway (US);1943ua;1943
The War Against Destiny (Euro 960104);19xx;19XX
The War Against Destiny (Asia 960104);19xxa;19XX
The War Against Destiny (Asia 951207);19xxar1;19XX
The War Against Destiny (Brazil 951218);19xxb;19XX
The War Against Destiny (Hispanic 951218);19xxh;19XX
The War Against Destiny (Japan 960104, yellow case);19xxj;19XX
The War Against Destiny (Japan 951225);19xxjr1;19XX
The War Against Destiny (Japan 951207);19xxjr2;19XX
The War Against Destiny (USA 951207);19xxu;19XX
;3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
;aerofgts;Aero Fighters Special (USA)
;aerofgtst;Aero Fighters Special (Taiwan)
;aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)
;aof;Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044)
;aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)
;aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056)
;aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
;aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release)
;armwar;Armored Warriors (Euro 941024)
;armwara;Armored Warriors (Asia 941024)
;armwarar1;Armored Warriors (Asia 940920)
;armwarr1;Armored Warriors (Euro 941011)
;armwaru;Armored Warriors (USA 941024)
;armwaru1;Armored Warriors (USA 940920)
;asterix;Asterix (ver EAD)
;asterixaad;Asterix (ver AAD)
;asterixeaa;Asterix (ver EAA)
;asterixeac;Asterix (ver EAC)
;asterixj;Asterix (ver JAD)
;asurabld;Asura Blade - Sword of Dynasty (Japan)
;asurabus;Asura Buster - Eternal Warriors (USA)
;asurabusj;Asura Buster - Eternal Warriors (Japan, set 1)
;asurabusja;Asura Buster - Eternal Warriors (Japan, set 2)
;asurabusjr;Asura Buster - Eternal Warriors (Japan) (ARCADIA review build)
;avengrgs;Avengers In Galactic Storm (US/Europe 1.0)
;avengrgsj;Avengers In Galactic Storm (Japan 1.2)
;avsp;Alien vs. Predator (Euro 940520)
;avspa;Alien vs. Predator (Asia 940520)
;avsph;Alien vs. Predator (Hispanic 940520)
;avspj;Alien vs. Predator (Japan 940520)
;avspu;Alien vs. Predator (USA 940520)
;beastrzr;Beastorizer (USA, Sep 22 1997)
;beastrzra;Beastorizer (USA, Jun 21 1997)
;blazstar;Blazing Star
;bldyroar;Bloody Roar (Japan, Jun 21 1997)
;bldyror2;Bloody Roar 2 (World)
;bldyror2a;Bloody Roar 2 (Asia)
;bldyror2j;Bloody Roar 2 (Japan)
;bldyror2u;Bloody Roar 2 (USA)
;bloodstm;Blood Storm (v2.22)
;bloodstm10;Blood Storm (v1.04)
;bloodstm11;Blood Storm (v1.10)
;bloodstm21;Blood Storm (v2.10)
;bloodstm22;Blood Storm (v2.20)
;breakers;Breakers
;breakrev;Breakers Revenge
;brival;Burning Rival (World)
;brivalj;Burning Rival (Japan)
Millennium Fight 2000 (Rev C);capsnk;Capcom Vs. SNK
Millennium Fight 2000 (Rev A);capsnka;Capcom Vs. SNK
Millennium Fight 2000;capsnkb;Capcom Vs. SNK
;crusnusa;'Cruis''n USA (v4.5)'
;crusnusa11;'Cruis''n USA (v1.1)'
;crusnusa20;'Cruis''n USA (v2.0)'
;crusnusa21;'Cruis''n USA (v2.1)'
;crusnusa40;'Cruis''n USA (v4.0)'
;crusnusa41;'Cruis''n USA (v4.1)'
;crusnusa44;'Cruis''n USA (v4.4)'
;crusnwld;'Cruis''n World (v2.5)'
;crusnwld13;'Cruis''n World (v1.3)'
;crusnwld17;'Cruis''n World (v1.7)'
